man,manLabel
http://www.wikidata.org/entity/Q75067,Friedrich Lahrs
http://www.wikidata.org/entity/Q75204,Friedrich von Thiersch
http://www.wikidata.org/entity/Q75711,Paul Clemen
http://www.wikidata.org/entity/Q75736,G. K. Nagler
http://www.wikidata.org/entity/Q75949,Adolf Behne
http://www.wikidata.org/entity/Q76000,Werner Spies
http://www.wikidata.org/entity/Q76020,Gustav Friedrich Hartlaub
http://www.wikidata.org/entity/Q76145,Hermann Hettner
http://www.wikidata.org/entity/Q76577,Max Dessoir
http://www.wikidata.org/entity/Q76718,Anton Raphael Mengs
http://www.wikidata.org/entity/Q77314,Carl Justi
http://www.wikidata.org/entity/Q77602,Karl Friedrich Hermann
http://www.wikidata.org/entity/Q77851,Wilhelm Hausenstein
http://www.wikidata.org/entity/Q77950,Lothar Ledderose
http://www.wikidata.org/entity/Q78108,Julius Meier-Graefe
http://www.wikidata.org/entity/Q78120,Carl Watzinger
http://www.wikidata.org/entity/Q78125,Adolf Boetticher
http://www.wikidata.org/entity/Q78279,Cornelius Gurlitt
http://www.wikidata.org/entity/Q78316,Eduard Fuchs
http://www.wikidata.org/entity/Q78382,Conrad Emmanuel Steinbrecht
http://www.wikidata.org/entity/Q78504,Ernst Gombrich
http://www.wikidata.org/entity/Q78777,Joseph von Arneth
http://www.wikidata.org/entity/Q78785,Adam von Bartsch
http://www.wikidata.org/entity/Q78900,Fritz Saxl
http://www.wikidata.org/entity/Q79008,Otto Pächt
http://www.wikidata.org/entity/Q79084,Hans Sedlmayr
http://www.wikidata.org/entity/Q79157,Rudolf Eitelberger
http://www.wikidata.org/entity/Q84509,Felix Philipp Kanitz
http://www.wikidata.org/entity/Q84564,Julius von Schlosser
http://www.wikidata.org/entity/Q84873,Friedrich Sarre
http://www.wikidata.org/entity/Q84994,Theodor von Frimmel
http://www.wikidata.org/entity/Q85303,Adolf Schöll
http://www.wikidata.org/entity/Q85318,Franz Bock
http://www.wikidata.org/entity/Q85418,Peter Assmann
http://www.wikidata.org/entity/Q85595,Franz Wickhoff
http://www.wikidata.org/entity/Q85604,Wilhelm Alzinger
http://www.wikidata.org/entity/Q85721,Friedrich Hauser
http://www.wikidata.org/entity/Q85859,Dagobert Frey
http://www.wikidata.org/entity/Q85881,Reinhard Kekulé von Stradonitz
http://www.wikidata.org/entity/Q86225,Arthur Mahler
http://www.wikidata.org/entity/Q86241,Otto Demus
http://www.wikidata.org/entity/Q86245,Josef Keil
